id,category,visual_angle,title,photographer,source_page,direct_image_url,recommended_use,rights_note
11,sauna,steam detail,"Modern sauna with stone heater and steam",HUUM sauna heaters,https://www.pexels.com/photo/modern-sauna-with-stone-heater-and-steam-32504788/,https://images.pexels.com/photos/32504788/pexels-photo-32504788.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,steam and sauna explainer,"Pexels license; visible brand/product association may need review"
12,sauna,moody portrait,"Relaxing in a steamy Nordic sauna",HUUM sauna heaters,https://www.pexels.com/photo/relaxing-in-a-steamy-nordic-sauna-31092893/,https://images.pexels.com/photos/31092893/pexels-photo-31092893.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,moody editorial opener,"Pexels license; identifiable person and visible brand/product association"
13,sauna,bright lifestyle,"Relaxed woman enjoying modern sauna experience",HUUM sauna heaters,https://www.pexels.com/photo/relaxed-woman-enjoying-modern-sauna-experience-34097642/,https://images.pexels.com/photos/34097642/pexels-photo-34097642.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,lifestyle listicle or newsletter,"Pexels license; visible brand/product association may need review"
14,sauna,spa design,"Contemporary sauna and shower area",Alan Albegov,https://www.pexels.com/photo/contemporary-sauna-and-shower-area-21038556/,https://images.pexels.com/photos/21038556/pexels-photo-21038556.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,home spa or bathroom design post,"Pexels license; inspect for visible brands"
15,sauna,steam detail,"Cozy indoor sauna with steaming stones",HUUM sauna heaters,https://www.pexels.com/photo/cozy-indoor-sauna-with-steaming-stones-34097625/,https://images.pexels.com/photos/34097625/pexels-photo-34097625.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,sauna ritual detail,"Pexels license; visible brand/product association may need review"
16,sauna,slow living,"Focused woman reading magazine in sauna",Vika Glitter,https://www.pexels.com/photo/focused-woman-reading-magazine-in-sauna-4345681/,https://images.pexels.com/photos/4345681/pexels-photo-4345681.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,slow-living or weekend routine story,"Pexels license; identifiable person and visible publication may need review"
17,sauna,sweat detail,"A sweaty man in a sauna",Ron Lach,https://www.pexels.com/photo/a-sweaty-man-in-a-sauna-9144536/,https://images.pexels.com/photos/9144536/pexels-photo-9144536.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,gritty sweat or performance angle,"Pexels license; identifiable person; avoid unsupported health claims"
18,sauna,silhouette,"A man relaxing at a sauna",Ron Lach,https://www.pexels.com/photo/a-man-relaxing-at-a-sauna-9144538/,https://images.pexels.com/photos/9144538/pexels-photo-9144538.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,moody background or quote card,"Pexels license; identifiable person"
19,sauna,post-workout,"Man holding towel",ShotPot,https://www.pexels.com/photo/photo-of-man-holding-towel-4048121/,https://images.pexels.com/photos/4048121/pexels-photo-4048121.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,post-workout recovery feature,"Pexels license; identifiable person"
20,cold therapy,ice bath lifestyle,"Relaxing spa session with ice bath therapy",naniko kipiani,https://www.pexels.com/photo/relaxing-spa-session-with-ice-bath-therapy-35637834/,https://images.pexels.com/photos/35637834/pexels-photo-35637834.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,cold-plunge hero or feature,"Pexels license; identifiable person; avoid medical claims"
21,cold therapy,winter immersion,"Man winter swimming",Olavi Anttila,https://www.pexels.com/photo/man-winter-swimming-15814240/,https://images.pexels.com/photos/15814240/pexels-photo-15814240.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,extreme cold ritual opener,"Pexels license; identifiable person; safety context recommended"
22,cold therapy,anticipation,"Man winter swimming",Olavi Anttila,https://www.pexels.com/photo/man-winter-swimming-15814241/,https://images.pexels.com/photos/15814241/pexels-photo-15814241.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,pre-plunge or courage story,"Pexels license; identifiable person; safety context recommended"
23,cold therapy,ocean swim,"Man enjoying a winter swim in the ocean",Rain Lü,https://www.pexels.com/photo/man-enjoying-a-winter-swim-in-the-ocean-36253376/,https://images.pexels.com/photos/36253376/pexels-photo-36253376.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,coastal cold-water lifestyle,"Pexels license; identifiable person; avoid health guarantees"
24,cold therapy,group ritual,"Men about to go winter swimming",Olavi Anttila,https://www.pexels.com/photo/photo-of-men-about-to-go-winter-swimming-15814243/,https://images.pexels.com/photos/15814243/pexels-photo-15814243.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,community or group challenge story,"Pexels license; identifiable people; safety context recommended"
25,cold therapy,raw endurance,"Topless man in lake in winter",Olavi Anttila,https://www.pexels.com/photo/topless-man-in-lake-in-winter-14815623/,https://images.pexels.com/photos/14815623/pexels-photo-14815623.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,gritty cold exposure feature,"Pexels license; identifiable person; safety context recommended"
26,cold therapy,ice preparation,"Person cutting ice in frozen lake for winter swim",Jeff Prezio,https://www.pexels.com/photo/person-cutting-ice-in-frozen-lake-for-winter-swim-35640103/,https://images.pexels.com/photos/35640103/pexels-photo-35640103.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,ice preparation or winter tradition story,"Pexels license; safety context recommended"
27,cold therapy,snow contrast,"Woman in a swimming pool during winter",Yaroslav Shuraev,https://www.pexels.com/photo/photo-of-a-woman-in-a-swimming-pool-during-winter-7041618/,https://images.pexels.com/photos/7041618/pexels-photo-7041618.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,soft cold-water lifestyle image,"Pexels license; identifiable person"
28,cold therapy,hot-cold ritual,"Man standing in frozen river with coffee",Till Daling,https://www.pexels.com/photo/man-standing-in-the-frozen-river-and-holding-a-disposable-cup-14232280/,https://images.pexels.com/photos/14232280/pexels-photo-14232280.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,sauna-to-cold ritual or recovery story,"Pexels license; identifiable person; safety context recommended"
29,cold therapy,wilderness immersion,"Man walking in water in winter",Till Daling,https://www.pexels.com/photo/man-walking-in-water-in-winter-19459814/,https://images.pexels.com/photos/19459814/pexels-photo-19459814.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,raw outdoor wellness feature,"Pexels license; identifiable person; safety context recommended"
30,cold therapy,safety and rescue,"Man rescued from icy water during winter drill",Roman Biernacki,https://www.pexels.com/photo/man-rescued-from-icy-water-during-winter-drill-36678104/,https://images.pexels.com/photos/36678104/pexels-photo-36678104.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,cold-water safety article,"Pexels license; use in safety context, not as a wellness promise"
31,cold therapy,quiet nature,"Young woman bathing in a winter lake",Nick Bulanov,https://www.pexels.com/photo/young-woman-bathing-in-a-winter-lake-20763349/,https://images.pexels.com/photos/20763349/pexels-photo-20763349.jpeg?auto=compress&cs=tinysrgb&h=627&fit=crop&w=1200,serene cold-water lifestyle feature,"Pexels license; identifiable person; safety context recommended"
