id,name,aliases,website,supplier_type,directory_status,traditional_hot_sauna_fit,custom_build,wood_build_evidence,heater_types,wood_species,installation_scope,delivery_scope,primary_city,state,additional_locations,email,phone,public_contact_person,contact_person_role,established_year,experience_claimed,featured_projects,price_tier_1_5,price_basis,source_quality,source_urls,evidence_notes,last_verified
mx-011,Maderec Sauna,Maderec Sauna y Vapor,https://www.maderecsauna.com.mx/,manufacturer_installer,core,probable,true,"Saunas built with first-quality kiln-dried/selected woods; custom interior/exterior, barrel, mini and collective models","own electric/gas vapor systems and sauna stones; sauna heat-unit detail not fully public","selected and kiln-dried woods; species not stated","design, manufacture, installation, repair, maintenance and warranties","whole Mexico service claimed",Ciudad de México,CDMX,PENDIENTE,PENDIENTE,"55 5143 7199; 56 2037 1084; 55 4063 6564",PENDIENTE,PENDIENTE,PENDIENTE,30+ years claimed,"interior; exterior; barrel; mini; collective; individual saunas",3,"editorial mid-market custom tier; no public price","A","https://www.maderecsauna.com.mx/; https://empresas.habitissimo.com.mx/pro/maderec-sauna-y-vapor","Strong custom-builder evidence. Confirm exact sauna heater type and current operating address/contact email.",2026-07-27
mx-012,Vaportech,VaporTech,https://www.vaportech.com.mx/,manufacturer_installer,core,verified,true,"Finnish sauna baths manufactured in mahogany machimbre; thermo-isolated panels","imported heat units; electronic controls; stone handling implied; wood stove not confirmed","mahogany; high-quality materials","manufacture, sale and service; delivery/installation scope should be confirmed","home delivery appears in directory listing; national installation not verified",Monterrey,Nuevo León,PENDIENTE,PENDIENTE,81 8354 9295; WhatsApp 81 2022 6244,Ing. Rubén Cavazos Treviño,contact person listed on official contact page,1972,"40+ years claimed on site; 1972 foundation stated","residential; hotels; gyms; sports clubs; capacities 8–50 m3",3,"editorial mid-market custom tier; public prices not found","A","https://www.vaportech.com.mx/; https://www.vaportech.com.mx/banos-sauna; https://www.vaportech.com.mx/contacto/; https://www.allbiz.mx/vaportech_5o-81-8354-9295","Excellent age and product evidence. Confirm whether current coverage is national and whether a wood-fired stove can be specified.",2026-07-27
mx-013,Equipos de Vapor y Sauna / VAPORYSAUNA,Evasa; Vaporysauna,https://vaporysauna.com.mx/,manufacturer_installer,secondary,probable,true,"Manufacturer of sauna baths and steam generators; fine kiln-dried woods mentioned in directory profile","electric steam generators; sauna heat equipment not fully exposed","fine kiln-dried woods","manufacture, installation and maintenance","national coverage appears in third-party listing; official site does not clearly state it",Guadalajara,Jalisco,PENDIENTE,PENDIENTE,"33 3618 2513; 331 668 8171",PENDIENTE,PENDIENTE,1988,"30+ years claimed; 1988 stated in directory listing","residences; hotels; clubs; gyms; spas; distributors",3,"editorial mid-market custom tier; no public price","B","https://vaporysauna.com.mx/; https://www.construex.com.mx/exhibidores/equipos_de_vapor_y_sauna_sa_de_cv; https://www.planetamexico.com.mx/equipos-de-vapor-y-sauna-F120CC30E19D144","Likely strong legacy manufacturer, but current coverage and exact traditional-hot specification need direct confirmation.",2026-07-27
mx-014,Sauna de Occidente,Sauna de Occidente,https://www.saunadeoccidente.com/,manufacturer_installer,secondary,probable,true,"Custom sauna baths and Finnish individual baths; construction details limited","electric generators and sauna equipment; stone/stove details not confirmed","not stated","manufacture, sale and maintenance","Guadalajara / Jalisco coverage explicitly stated; national delivery not claimed",Guadalajara,Jalisco,PENDIENTE,PENDIENTE,33 3823 7422,PENDIENTE,owner provides direct attention; name not stated,PENDIENTE,10 years claimed,"custom sauna projects; no named projects",3,"editorial mid-market custom tier; no public price","A","https://www.saunadeoccidente.com/index.html; https://www.cylex.mx/guadalajara-guadalajara/sauna%2Bde%2Boccidente-11462691.html","Regional specialist, not a national supplier until coverage is confirmed.",2026-07-27
mx-015,Saunas y Vapores de Puebla,Saunas y Vapores de Puebla,https://www.saunasyvaporesdepuebla.com/,manufacturer_installer,secondary,verified,true,"Custom sauna/vapor rooms; gallery shows wood, rock heater, benches, exterior traditional sauna","traditional rocks; electric heating implied; wood stove not confirmed","cedar; fine woods shown in gallery","design, adaptation, installation, maintenance and warranty","Puebla evidence; nationwide delivery not stated",Puebla,Puebla,PENDIENTE,PENDIENTE,222 114 3067,PENDIENTE,PENDIENTE,PENDIENTE,experience years not published,"traditional wood sauna for two; traditional exterior sauna for up to 15; custom bath adaptations",3,"editorial mid-market custom tier; no public price","A","https://www.saunasyvaporesdepuebla.com/; https://www.saunasyvaporesdepuebla.com/contactPage.html; https://www.saunasyvaporesdepuebla.com/gallery; https://saunasyvaporesdepuebla.com/servicesPage","Very good traditional-hot visual evidence. Confirm business age, legal entity, email formatting, and whether it travels outside Puebla.",2026-07-27
mx-016,OSFASA Corporación,OSFASA; OSFASA Corporación S.A. de C.V.,https://www.osfasa-corp.com.mx/,manufacturer_installer,secondary,verified,true,"Saunas in kiln-dried/processed wood; thermo-insulated panels; custom sizes and models","stainless thermal units, volcanic stones, digital controls; wood stove not confirmed","kiln-dried and deflamed woods; banack; mahogany/triplay in products","manufacture, sale, custom sizing and service","national coverage not verified; CDMX and Monterrey locations",Ciudad de México,CDMX,"Monterrey / Nuevo León",ventasosfasa@osfasa.com.mx; contactoosfasa@osfasa.com.mx,"55 5513 1850; 55 5513 1806; 55 5485 0509",PENDIENTE,PENDIENTE,PENDIENTE,25 years claimed,"published models from MXN 19,200 to MXN 105,000; 3x2x2 model at MXN 105,000",3,"public price evidence supports budget-to-mid custom range; editorial score 3","A","https://www.osfasa-corp.com.mx/; https://www.osfasa-corp.com.mx/index.php/sauna/; https://www.osfasa-corp.com.mx/index.php/product-category/sauna/; https://www.osfasa-corp.com.mx/index.php/product/bano-sauna-de-3-00-x-2-00-x-2-00/","One of the few suppliers with public product prices. Confirm nationwide delivery and current product availability.",2026-07-27
mx-017,D'Steam & Sauna / Saunas y Vapores,Amerec México; Finnleo México distributor,https://amerecmexico.com/,distributor_installer,secondary,verified,true,"Custom-cut Finnleo sauna packages; traditional, cabin and outdoor sauna lines; custom wood interiors","Finnleo electric heaters with rocks; wood-fired stove not confirmed","white Nordic spruce; abachi; Canadian hemlock; western red cedar","design/quote, equipment supply, project integration and maintenance","Mexico presence; national delivery/installation not clearly stated",Cancún,Quintana Roo,PENDIENTE,PENDIENTE,"998 914 0418; 998 209 1246; WhatsApp 55 8034 3246",PENDIENTE,PENDIENTE,PENDIENTE,experience years not published,"Finnleo Custom-Cut; Hallmark cabins; outdoor patio/garden sauna; salt sauna; hospitality/residential/spa/club work",5,"editorial luxury imported-brand tier; no public price","A","https://amerecmexico.com/; https://amerecmexico.com/sauna-tradicional.php; https://amerecmexico.com/sauna-sobre-diseno.php; https://amerecmexico.com/marcas.php","Relevant luxury supplier but should be labeled distributor/project integrator, not Mexican manufacturer.",2026-07-27
mx-018,Calor de Hogar MX,Chimeneas y Calefacción; Calor de Hogar,https://www.calordehogarmx.com/,installer_distributor,secondary,verified,true,"Custom Finnish saunas in fine woods, adapting to customer space and budget","electric resistances heat stones; wood stove not confirmed","mahogany; red cedar; banack","design, manufacture and installation claimed","CDMX and Toluca-Metepec presence; national delivery not verified",Ciudad de México,CDMX,"Toluca / Metepec, Estado de México",ventas@calordehogarmx.com,55 3693 5981; 722 242 0212,PENDIENTE,PENDIENTE,PENDIENTE,experience years not published,"custom residential and commercial Finnish saunas; no named projects",3,"editorial mid-market custom tier; no public price","A","https://www.calordehogarmx.com/saunas_y_vapores.htm","Very clear traditional-hot definition and custom wood evidence. Confirm whether the firm manufactures the full room or integrates subcontractors.",2026-07-27
mx-019,Calentadores DELTA,DELTA; Vapores y Calentadores Delta,https://calentadoresdelta.com/,manufacturer_installer,secondary,probable,true,"Site states it manufactures, markets and installs saunas; wood construction not specifically exposed","sauna and steam systems; exact traditional heater/stone details not publicly exposed","not stated","manufacture, sale, installation and maintenance","availability in each city must be confirmed; national coverage not guaranteed",Ciudad de México,CDMX,PENDIENTE,PENDIENTE,"55 7159 7408; 55 9223 2167; 55 6530 7497",Enrique Rocha,Director General,1980,"45 years / since 1980 claimed","residential and commercial sauna solutions; public customer testimonials in CDMX and Estado de México",4,"editorial premium technical brand tier; no public sauna price","A","https://calentadoresdelta.com/; https://calentadoresdelta.com/nosotros; https://calentadoresdelta.com/fichas-de-producto","Strong manufacturing company with explicit director. Keep as adjacent until wood room and hot-stone configuration are confirmed.",2026-07-27
mx-020,Tinas de Madera México,Tinas de Madera Mexico S.A. de C.V.,https://www.tinasdemaderamexico.com/,manufacturer_installer,secondary,pending,true,"Company says it designs and manufactures wood saunas, barrels and wellness wood products to order","heater/stove type not publicly specified","selected quality woods; species not stated","design, manufacture and installation","whole Mexico claimed",Zapopan,Jalisco,PENDIENTE,PENDIENTE,331 406 0712; 333 109 4939,PENDIENTE,PENDIENTE,2016,"founded in 2016","custom wood saunas, barrel cabins, tubs and hospitality/wellness projects",4,"editorial premium craft tier; no public price","A","https://www.tinasdemaderamexico.com/empresa.html","Include only after confirming traditional hot heater/stones and actual sauna portfolio; current public page is stronger on woodwork than sauna engineering.",2026-07-27
mx-021,Europisos de Madera y Decks,Europisos,https://www.europisosdemaderaydecks.com/,installer_carpentry,secondary,pending,true,"Design and installation of wood saunas for residential and commercial projects; sauna engineering details not public","not stated","fine woods; species not stated","design, construction, installation and maintenance","Guadalajara / Jalisco service explicitly indicated; national delivery not stated",Guadalajara,Jalisco,PENDIENTE,PENDIENTE,33 2205 5604,PENDIENTE,PENDIENTE,PENDIENTE,25+ years claimed,"residential and commercial sauna projects; no named sauna clients",3,"editorial mid-market custom tier; no public price","A","https://www.europisosdemaderaydecks.com/saunas/; https://www.europisosdemaderaydecks.com/","Good regional builder lead, but not yet verified for traditional hot heater/stove.",2026-07-27
mx-022,Tendenzias Albercas,Tendenzias,https://tendenzias.com.mx/,installer_distributor,secondary,probable,true,"Builds saunas with triple walls and stainless components; sauna-specific fabrication detail limited","Finnish olivine stones; steam/sauna systems; exact heater type not stated","not stated","design, construction, equipment and maintenance","multiple Querétaro branches; national delivery not stated",Tequisquiapan,Querétaro,"Santiago de Querétaro / Querétaro; San Gil / Querétaro",sucursaltx@tendenzias.com.mx; sucursalqro@tendenzias.com.mx; sucursalsangil@tendenzias.com.mx,"414 273 1466; 442 245 1216; 427 688 2064; WhatsApp 414 140 7317",Sebastián De La Sota Blanchet,public LinkedIn employee/project contact; leadership role not stated,2005,"two decades claimed; LinkedIn lists 2005 foundation","residential and commercial sauna/vapor installations; broader pool portfolio",4,"editorial premium installer tier; no public price","A","https://tendenzias.com.mx/saunas-y-vapores; https://tendenzias.com.mx/contacto; https://mx.linkedin.com/company/tendenziasred","Likely an aquatic/wellness integrator rather than a pure sauna manufacturer. Good regional supplier lead.",2026-07-27
mx-023,Finlandesa Spa,Finlandeses Spa,https://www.finlandeses-spa.com.mx/,manufacturer_installer,verify,pending,true,"Marketplace and project page report custom sauna with fine woods and high-quality heat unit","heat unit referenced; stove type not specified","fine woods","design and installation shown in project listing","not verified",Ciudad de México,CDMX,PENDIENTE,PENDIENTE,55 5341 0983,PENDIENTE,PENDIENTE,PENDIENTE,experience years not published,"Polanco rooftop spa project with sauna, steam room, jacuzzi and chromotherapy; public project total MXN 250,000",5,"public project price of MXN 250,000 for multi-component rooftop spa; not a sauna-only quote","C","https://www.homify.com.mx/proyectos/627099/finlandeses-spa; https://www.construex.com.mx/exhibidores/finlandesa_spa/producto/banos_de_sauna_mexico","Keep internal until website, current operation and national delivery are confirmed.",2026-07-27
mx-024,Baños Saunas Premier,Baños Saunas Premier México,https://www.construex.com.mx/exhibidores/banos_saunas_premier_mexico,manufacturer_installer,verify,probable,true,"Public listing claims design, manufacture, maintenance and installation of Finnish and portable saunas; wood species not specified","sauna heating equipment and generators; exact stone/stove details not stated","selected woods claimed in listing; species not stated","design, manufacture, installation, maintenance and repair","CDMX delivery explicitly listed; national delivery not verified",Xochimilco,CDMX,PENDIENTE,PENDIENTE,"55 7026 0289; 55 7026 0900; 56 5045 4111",PENDIENTE,PENDIENTE,PENDIENTE,35 years claimed,"public project/product listing; no price",3,"public project/product listing; no price","C","https://www.yaloencontre.mx/saunas; https://www.construex.com.mx/exhibidores/banos_saunas_premier_mexico/productos; https://www.fresha.com/es/lvp/banos-saunas-premier-texoncalco-ciudad-de-mexico-zn64e6","Useful local lead with substantial claimed experience, but source quality and current operations require direct verification.",2026-07-27
mx-025,Saunas Siete Grados,Saunas Siete Grados,https://saunas-siete-grados.ueniweb.com/,manufacturer_installer,verify,probable,true,"Residential and commercial sauna fabrication; models adapt to customer needs","heater/stove type not exposed","wood construction implied; species not stated","fabrication and design","coverage not stated",Puebla,Puebla,PENDIENTE,PENDIENTE,427 120 0942,PENDIENTE,PENDIENTE,PENDIENTE,experience years not published,"residential, commercial and design-furniture work",2,"site claims saunas for every budget; no public prices","C","https://saunas-siete-grados.ueniweb.com/","Include only after confirming current website/contact, traditional hot fit and delivery.",2026-07-27
