id,name,website,booking_url,venue_type,directory_status,access_model,sauna_fit,sauna_type,heat_source,amenities,city,state,address,email,phone,price_from_mxn,price_details,admission_notes,hours,featured_experiences,operator_entity,source_quality,source_urls,evidence_notes,last_verified
mxp-011,Casa Legado,https://vivaaguascalientes.com/que-hacer/wellness/,PENDIENTE,destination_spa,secondary,hotel_or_day_resort_booking,verified,"sauna; steam","heat source not disclosed","cold immersion; pressure showers; cascades; temazcal; pools; villas","Jesús Terán",Aguascalientes,"El Cono, Jesús Terán",PENDIENTE,PENDIENTE,PENDIENTE,"Price not published","Tourism listing describes resort/day-resort service; confirm direct booking and external access","PENDIENTE","historic hydrotherapy; sauna; cold immersion; temazcal","PENDIENTE",B,"https://vivaaguascalientes.com/que-hacer/wellness/","Official tourism-board source, but direct operator website/contact should be confirmed.",2026-07-27
mxp-012,Casa Fernanda Spa,https://www.casafernanda.com/spa/,https://www.casafernanda.com/spa/,hotel_day_spa,core,external_spa_booking,verified,"sauna; steam","heat source not disclosed","vitality pool; sensation shower; private treatment rooms; relaxation area","Tepoztlán",Morelos,"Niño Artillero 20, Barrio San José, 62520",PENDIENTE,PENDIENTE,PENDIENTE,"Hydrothermal session 50 min is described before massage; price not published","Adults only; open to hotel guests and public in general","Hours vary by day","sauna; steam; vitality pool; sensory experience","Casa Fernanda Hotel Boutique",A,"https://www.casafernanda.com/spa/","Strong external-access evidence; verify current treatment requirement and price.",2026-07-27
mxp-013,Integra GYM Tepoztlán,https://integragym.com/,PENDIENTE,fitness_club,secondary,membership_or_gym_visit,verified,"infrared sauna","infrared","gym; spa area; showers","Tepoztlán",Morelos,"PENDIENTE",PENDIENTE,PENDIENTE,PENDIENTE,"Price not published","Gym access model needs direct confirmation","PENDIENTE","infrared sauna; gym; spa area","PENDIENTE",A,"https://integragym.com/","Sauna is explicit; visitor access, exact address, and price require verification.",2026-07-27
mxp-014,Hotel Boutique & Spa Valle de Guadalupe,https://www.hoteldelvalledeguadalupe.com/es-mx,https://www.hoteldelvalledeguadalupe.com/es-mx,hotel_spa,secondary,hotel_or_spa_booking,verified,"sauna","heat source not disclosed","jacuzzi; yoga; massage; wine-country retreat","Valle de Guadalupe",Baja California,"Ensenada / Valle de Guadalupe",contacto@hoteldelvalledeguadalupe.com,PENDIENTE,PENDIENTE,"Price not published","Confirm external spa access versus hotel-guest-only access","Reservations agents listed 8:00–22:00","sauna; yoga-spa retreat; massage; jacuzzi","Hotel Boutique & Spa Valle de Guadalupe",A,"https://www.hoteldelvalledeguadalupe.com/es-mx","Official site confirms sauna but not day-pass terms.",2026-07-27
mxp-015,SUMMIT Wellness Club,https://summitclub.mx/,https://summitclub.mx/,wellness_club,verify,membership_preopening,verified,"sauna; hot room","heat source not disclosed","cold plunge; jacuzzi; recovery; pool; Mayweather Boxing; padel","Chihuahua",Chihuahua,"PENDIENTE",PENDIENTE,PENDIENTE,1999,"Memberships from MXN 1,999/month","Site states opening 2026; do not publish as open until confirmed","Pre-opening","sauna; cold plunge; recovery; premium fitness club","PENDIENTE",A,"https://summitclub.mx/","Useful watch-list venue, but current operating status and exact address must be verified.",2026-07-27
mxp-016,SPA Boutique San Miguel de Allende,https://www.spahotel.com.mx/,https://www.spahotel.com.mx/,day_spa,core,bookable_public,verified,"sauna; steam","heat source not disclosed","tubs; jacuzzi; massages; facials; romantic dinner packages","San Miguel de Allende",Guanajuato,"PENDIENTE",hola@spahotel.com.mx,"+52 415 215 3125",PENDIENTE,"Price varies by package","Public treatment and day-spa reservations","Tue–Sat 9:00–19:00; Sun 9:00–17:00","romantic day spa; sauna; steam; tubs; jacuzzi","SPA Boutique",A,"https://www.spahotel.com.mx/","Good standalone public day-spa fit.",2026-07-27
mxp-017,Hotel La Peña Spa,https://hotelencuetzalan.com/,PENDIENTE,hotel_spa,secondary,hotel_or_spa_booking,verified,"sauna; steam cabin","heat source not disclosed","massage; aromatherapy","Cuetzalan del Progreso",Puebla,"PENDIENTE",PENDIENTE,PENDIENTE,PENDIENTE,"Price not published","Confirm external visitor access and exact booking route","PENDIENTE","sauna or steam cabin plus massage","Hotel La Peña",A,"https://hotelencuetzalan.com/","Public sauna evidence; access model requires direct verification.",2026-07-27
mxp-018,Nabane Spa at Grand Fiesta Americana Oaxaca,https://www.fiestamericanatravelty.com/en/grand-fiesta-americana/hotels/grand-fiesta-americana-oaxaca/hotel-spa,https://www.fiestamericanatravelty.com/en/grand-fiesta-americana/hotels/grand-fiesta-americana-oaxaca/hotel-spa,hotel_day_spa,core,external_spa_booking,verified,"sauna","heat source not disclosed","hydrotherapy circuit; relaxation room; massages; ancestral rituals","Oaxaca de Juárez",Oaxaca,"Grand Fiesta Americana Oaxaca",spa1fgoa@posadas.com,"WhatsApp 951 581 0958",PENDIENTE,"Price not published","Spa takes individual and group appointments; confirm non-guest facility access","8:30–20:30","sauna; hydrotherapy circuit; Oaxacan-inspired rituals","Grand Fiesta Americana Oaxaca",A,"https://www.fiestamericanatravelty.com/en/grand-fiesta-americana/hotels/grand-fiesta-americana-oaxaca/hotel-spa","Official contact and operating hours published.",2026-07-27
mxp-019,AZUMI at Kymaia,https://www.kymaiahotel.com/wellness/,https://www.kymaiahotel.com/wellness/,hotel_wellness_sanctuary,secondary,hotel_or_wellness_booking,verified,"sauna; temazcal","sauna heat source not disclosed","ice bath; breathwork; mindful movement; ceremonial temazcal","Puerto Escondido",Oaxaca,"Valdeflores Colotepec, 70934",PENDIENTE,PENDIENTE,PENDIENTE,"Single sauna-and-ice-bath session mentioned; price not published","Confirm external/non-guest booking access","PENDIENTE","sauna + ice bath; temazcal; breathwork","Kymaia Hotel",A,"https://www.kymaiahotel.com/wellness/","Excellent experience detail but access and price are not explicit.",2026-07-27
mxp-020,Casa del Alma Spa,https://www.casadelalma.mx/es,https://www.casadelalma.mx/es,hotel_spa,secondary,hotel_or_spa_booking,verified,"sauna; steam","heat source not disclosed","gym; massages; facials; body treatments","San Cristóbal de las Casas",Chiapas,"Casa del Alma Hotel Boutique & Spa",PENDIENTE,PENDIENTE,PENDIENTE,"Price not published","Confirm external spa access","PENDIENTE","sauna; steam; boutique-hotel spa","Casa del Alma Hotel Boutique & Spa",A,"https://www.casadelalma.mx/es","Sauna and steam are explicitly listed; booking terms need confirmation.",2026-07-27
mxp-021,Térmica,https://www.termica.co/,https://www.termica.co/,contrast_therapy_club,core,membership_and_event_booking,verified,"sauna","heat source not disclosed","cold plunge; contrast therapy; events","Mérida",Yucatán,"C. 37 215, Monterreal, inside Plaza Urban Center, 97113",PENDIENTE,PENDIENTE,1000,"Source shows membership pricing including MXN 1,000 and annual MXN 35,000; confirm plan duration/pricing in current booking flow","Membership and event offering; direct booking via Gloflox","Mon–Sat 6:00–22:00","sauna + cold plunge; contrast events","PENDIENTE",A,"https://www.termica.co/","Verify package labels because webpage pricing presentation is ambiguous.",2026-07-27
mxp-022,Chablé Yucatán Spa,https://yucatan.chablehotels.com/wellness/,https://yucatan.chablehotels.com/wellness/,destination_hotel_spa,secondary,hotel_or_spa_booking,verified,"sauna; steam","heat source not disclosed","contrast pools; flotarium; sensory showers; jacuzzi; cenote setting; fitness; yoga","Chocholá",Yucatán,"Chablé Yucatán",PENDIENTE,PENDIENTE,PENDIENTE,"Price not published","Confirm non-guest spa booking and facility access","PENDIENTE","cenote-side hydrotherapy circuit; sauna; contrast pools","Chablé Yucatán",A,"https://yucatan.chablehotels.com/wellness/; https://yucatan.chablehotels.com/wp-content/uploads/sites/7/2023/01/YUCATAN-MENU-SPA-2023.pdf","High-quality sauna evidence; current day-spa policy needs confirmation.",2026-07-27
mxp-023,Quantika Spa & Wellness,https://www.quantikaspa.com/,https://www.quantikaspa.com/,wellness_spa,core,public_day_pass_and_membership,verified,"infrared sauna; steam","infrared","steam; jacuzzi; pool; copper tubs; ice/herbal bath on Sundays; coworking","Tulum",Quintana Roo,"PENDIENTE",PENDIENTE,PENDIENTE,PENDIENTE,"Day Pass USD 37/person; monthly membership USD 333 promotional price shown","No membership needed for Day Pass","PENDIENTE","full spa circuit; infrared sauna; steam; coworking","Quantika",A,"https://www.quantikaspa.com/","Use USD field in production or convert only at display time with a live FX rate.",2026-07-27
mxp-024,Tulum Bath House,https://www.tulumbathhouse.com/,https://www.tulumbathhouse.com/,private_bathhouse,core,private_group_buyout,verified,"large wood-fired sauna","wood-fired","cold plunge; warm pool; outdoor showers; lounge; fire pit; optional breathwork and massage","Tulum",Quintana Roo,"Tulum, Quintana Roo",PENDIENTE,PENDIENTE,PENDIENTE,"Pricing on request","Full-venue private buyout only; up to 20 guests","Morning and afternoon sessions","wood-fired sauna + contrast circuit; private groups","SEVA Tulum",A,"https://www.tulumbathhouse.com/","Strong fit for group/private-use filter, not individual drop-in.",2026-07-27
mxp-025,Siwa Wellness Villa Collection,https://www.siwatulum.com/spa-wellness,https://www.siwatulum.com/spa-wellness,hotel_villa_spa,secondary,hotel_or_spa_booking,verified,"sauna; steam","heat source not disclosed","cold plunge; massage","Tulum",Quintana Roo,"PENDIENTE",PENDIENTE,PENDIENTE,PENDIENTE,"Price not published","Confirm spa access for non-villa guests","PENDIENTE","sauna; steam; cold plunge; massage","Siwa Wellness Villa Collection",A,"https://www.siwatulum.com/spa-wellness","Sauna is explicit but access conditions are not.",2026-07-27
mxp-026,Kore Tulum Retreat & Spa Resort,https://www.koretulum.com/spa,https://www.koretulum.com/spa,hotel_spa,secondary,treatment_required_or_hotel_guest,verified,"sauna; steam","heat source not disclosed","jacuzzi; relaxation area; 10 treatment cabins","Tulum",Quintana Roo,"PENDIENTE",PENDIENTE,PENDIENTE,PENDIENTE,"Complimentary experience when booking a treatment only","Treatment booking is stated; verify non-guest availability","PENDIENTE","sauna; steam; jacuzzi; couples spa","Kore Tulum Retreat & Spa Resort",A,"https://www.koretulum.com/spa","Do not market as a stand-alone day pass without confirmation.",2026-07-27
mxp-027,Flora Spa Tulum,https://www.floraspa.com.mx/es,https://www.floraspa.com.mx/es,day_spa,core,bookable_public,verified,"sauna; aromatic steam","heat source not disclosed","hydromassage pool; salon; massage","Tulum",Quintana Roo,"PENDIENTE",PENDIENTE,PENDIENTE,PENDIENTE,"60-min sauna, hydromassage pool, and aromatic steam circuit is listed; price not published","Public spa booking","PENDIENTE","sauna + hydromassage + aromatic steam circuit","Flora Spa",A,"https://www.floraspa.com.mx/es","Confirm exact address, current price, and reservation contact.",2026-07-27
mxp-028,SE Spa at Grand Velas Riviera Maya,https://rivieramaya.grandvelas.com.mx/spa,https://rivieramaya.grandvelas.com.mx/spa,hotel_spa,core,treatment_required_or_spa_booking,verified,"sauna; infrared sauna; steam","infrared sauna mentioned in 2024 announcement; standard sauna in Water Ceremony","ice room; cold plunge; hot tub; sensory showers; float tank; hydrotherapy circuit","Playa del Carmen",Quintana Roo,"Carretera Cancún–Tulum Km 62, Riviera Maya, 77710",spa2rm@velasresorts.com,"800 831 1165",PENDIENTE,"Water Ceremony listed as complimentary with 50+ min treatment; menu says USD 80/day for use","Reservation required; confirm standalone hydrotherapy access","8:00–20:00 daily","seven-station Water Ceremony; infrared sauna + polar plunge biohacking","Grand Velas Riviera Maya",A,"https://rivieramaya.grandvelas.com.mx/spa; https://rivieramaya.grandvelas.com.mx/ResourceFiles/pdf/menu-se-spa.pdf","Separate male/female hydrothermal areas; show currency as USD where relevant.",2026-07-27
mxp-029,KAYANTÁ Spa at Kempinski Hotel Cancún,https://www.kempinski.com/en/hotel-cancun/kayanta-spa,https://www.kempinski.com/en/hotel-cancun/kayanta-spa,hotel_day_spa,core,external_day_pass,verified,"sauna; eucalyptus steam","heat source not disclosed","hot tubs; rain showers; fitness center","Cancún",Quintana Roo,"Kempinski Hotel Cancún",PENDIENTE,PENDIENTE,PENDIENTE,"Aqua Retreat Day Pass price on request","Official page offers Aqua Retreat Day Pass to saunas and wet areas","PENDIENTE","Aqua Retreat Day Pass; sauna; eucalyptus steam; hot tubs","Kempinski Hotel Cancún",A,"https://www.kempinski.com/en/hotel-cancun/kayanta-spa","Strong day-pass confirmation; request current price and appointment rules.",2026-07-27
mxp-030,Grand Palladium Vallarta Zentropia Spa,https://www.palladiumhotelgroup.com/en/hotels/mexico/rivieranayarit/grand-palladium-vallarta-resort-spa/experiences/spa-wellness,https://www.palladiumhotelgroup.com/en/hotels/mexico/rivieranayarit/grand-palladium-vallarta-resort-spa/experiences/spa-wellness,resort_spa,core,day_pass_hydrotherapy,verified,"sauna; Turkish bath","heat source not disclosed","hot/cold jacuzzis; hydromassage waterfalls; pool","Bahía de Banderas",Nayarit,"Carretera Punta de Mita Km 11.6, Riviera Nayarit",PENDIENTE,PENDIENTE,PENDIENTE,"Hydrotherapy Day Pass; price not published","Day pass explicitly offered; additional charge applies","PENDIENTE","hydrotherapy circuit; sauna; Turkish bath; hot/cold jacuzzi","Grand Palladium Vallarta Resort & Spa",A,"https://www.palladiumhotelgroup.com/en/hotels/mexico/rivieranayarit/grand-palladium-vallarta-resort-spa/experiences/spa-wellness","Good public day-pass evidence.",2026-07-27
mxp-031,SE Spa at Grand Velas Riviera Nayarit,https://vallarta.grandvelas.com.mx/spa/rituales-spa,https://vallarta.grandvelas.com.mx/spa/rituales-spa,resort_spa,secondary,hotel_or_spa_booking,verified,"sauna; steam","heat source not disclosed","warm/cold plunge lagoons; chromotherapy steam; ice fountain; hydro-reflexology","Nuevo Vallarta",Nayarit,"Av. Cocoteros 98 Sur, 63735",spaconciergern@velasresorts.com,"+52 322 226 8045",PENDIENTE,"Price not published","Confirm public day-spa or treatment-only access","PENDIENTE","sauna; thermal contrast; chromotherapy steam; ice fountain","Grand Velas Riviera Nayarit",A,"https://vallarta.grandvelas.com.mx/spa/rituales-spa","Strong facility evidence, but access terms are not explicit.",2026-07-27
mxp-032,Bahia Wellness at Bahia Hotel,https://www.bahiacabo.com/bahiawellness,https://www.bahiacabo.com/bahiawellness,hotel_wellness,secondary,hotel_or_guest_services_booking,verified,"sauna","heat source not disclosed","cold plunge; non-alcoholic drink; waiver","Cabo San Lucas",Baja California Sur,"Bahia Hotel & Beach House, Cabo San Lucas",PENDIENTE,PENDIENTE,PENDIENTE,"Sauna up to 60 minutes; price available on request","Reservations through Guest Services with less than 24-hour notice; confirm non-guest access","Daily 8:00–17:00","sauna + cold plunge wellness experience","Bahia Hotel & Beach House",A,"https://www.bahiacabo.com/bahiawellness","Explicit sauna experience, but not enough evidence to promise external guest access.",2026-07-27
mxp-033,eForea Spa at Hilton Los Cabos,https://www.hiltonloscabos.com/spa/,https://www.hiltonloscabos.com/spa/,resort_spa,secondary,reservation_required,verified,"sauna","heat source not disclosed","cold plunge; steam room; whirlpool; fitness recovery","San José del Cabo",Baja California Sur,"Hilton Los Cabos Beach & Golf Resort",PENDIENTE,PENDIENTE,PENDIENTE,"Fee applies; price not published","Fitness Recovery with sauna/cold plunge is reservation-only; confirm external guest access","Spa daily 10:00–18:00","fitness recovery sauna + cold plunge; eForea Spa","Hilton Los Cabos Beach & Golf Resort",A,"https://www.hiltonloscabos.com/spa/; https://www.hilton.com/en/hotels/sjdlchh-hilton-los-cabos-beach-and-golf-resort/spa/","Different site sections describe recovery area and spa; verify precise eligibility.",2026-07-27
mxp-034,Currents Spa at The Cape,https://www.hyatt.com/thompson-hotels/en-US/cslth-the-cape/spa,https://www.hyatt.com/thompson-hotels/en-US/cslth-the-cape/spa,resort_spa,secondary,hotel_or_spa_booking,verified,"sauna; steam","heat source not disclosed","hot and cold plunge pools; salon; couples room","Cabo San Lucas",Baja California Sur,"Carretera Transpeninsular Km 5, 23455",PENDIENTE,PENDIENTE,PENDIENTE,"Price not published","Confirm non-guest booking/thermal-area terms","PENDIENTE","sauna; steam; hot/cold plunge pools","The Cape, a Thompson Hotel",A,"https://www.hyatt.com/thompson-hotels/en-US/cslth-the-cape/spa","High-quality facility evidence but access is not explicit.",2026-07-27
mxp-035,Oasis Spa at Four Seasons Resort Los Cabos,https://www.fourseasons.com/loscabos/spa/spa-details/,https://www.fourseasons.com/loscabos/spa/spa-details/,resort_spa,core,external_spa_appointment,verified,"sauna; steam","heat source not disclosed","two hydrotherapy whirlpools; two individual cold plunges","Cabo San Lucas",Baja California Sur,"Four Seasons Resort Los Cabos at Cabo Del Sol",spa.loscabos@fourseasons.com,"+52 624 689 0292 ext. 3018",PENDIENTE,"Price not published","Official page says non-hotel guests may secure an appointment with a credit card","PENDIENTE","wet areas; sauna; steam; cold plunge; hydrotherapy","Four Seasons Resort Los Cabos at Cabo Del Sol",A,"https://www.fourseasons.com/loscabos/spa/spa-details/","Strong non-guest appointment evidence; verify whether wet areas require a treatment.",2026-07-27
mxp-036,Zen Spa at Hyatt Ziva Los Cabos,https://www.hyatt.com/es-ES/spas/Zen-Spa/home,https://www.hyatt.com/es-ES/spas/Zen-Spa/home,resort_spa,secondary,hotel_or_spa_booking,verified,"sauna; steam","heat source not disclosed","pool; hydrotherapy; beauty salon","San José del Cabo",Baja California Sur,"Paseo Malecón s/n Lote 5, Zona Hotelera, 23405",PENDIENTE,PENDIENTE,PENDIENTE,"Price not published","Confirm external spa booking policy","PENDIENTE","sauna; steam; pool; hydrotherapy","Hyatt Ziva Los Cabos",A,"https://www.hyatt.com/es-ES/spas/Zen-Spa/home","Sauna is explicit, but public/non-guest access is not.",2026-07-27
mxp-037,Badi Beauty Spa,https://www.badibeauty.mx/spaenvolturascorporales,https://www.badibeauty.mx/spaenvolturascorporales,day_spa,core,bookable_public,verified,"sauna; steam","heat source not disclosed","Egyptian bath; body wraps; massage","Boca del Río",Veracruz,"Boulevard Riviera Veracruzana Local 14, Puerto Condesa, 95264",badibeautyspa@gmail.com,"229 521 2986",140,"Steam or sauna session MXN 140 for 20 min; sauna lymphatic service MXN 580 for 45 min","Public appointment booking","PENDIENTE","steam or sauna session; Egyptian bath; body treatments","Badi Beauty",A,"https://www.badibeauty.mx/spaenvolturascorporales","One of the few independent public venues with a published sauna price.",2026-07-27
mxp-038,Spa Tsasná at Hotel Suspiro,https://hotelsuspiro.com/servicios.html,https://hotelsuspiro.com/servicios.html,hotel_day_spa,core,external_spa_booking,verified,"infrared sauna","infrared","hydromassage tub; massage; holistic treatments","Tlapacoyan",Veracruz,"Hotel Suspiro, Tlapacoyan",contacto@hotelsuspiro.com,"232 321 0835; 232 321 0856",PENDIENTE,"Additional charge; price not published","Available for visitors and hotel guests by prior reservation","10:00–20:00 by reservation","infrared sauna; hydromassage; holistic massage","Hotel Suspiro",A,"https://hotelsuspiro.com/servicios.html","Strong visitors-and-guests evidence.",2026-07-27
mxp-039,Park Royal Beach Acapulco Spa,https://www.park-royalhotels.com/park-royal-beach-acapulco.html,https://www.park-royalhotels.com/park-royal-beach-acapulco.html,resort_spa,secondary,hotel_guest_or_spa_booking,verified,"sauna","heat source not disclosed","massage; gym; beach resort amenities","Acapulco",Guerrero,"Park Royal Beach Acapulco",PENDIENTE,PENDIENTE,PENDIENTE,"Sauna has additional charge; price not published","Confirm non-guest spa access","PENDIENTE","spa massage; sauna; gym","Park Royal Beach Acapulco",A,"https://www.park-royalhotels.com/park-royal-beach-acapulco.html","Sauna is stated, but public access must be confirmed.",2026-07-27
